Symbol	TestNum	SigNum	HarmonicP	SigProp	MR
fuca1.1	24	14	0.0069190181214708	0.583333333333333	224.748748606082
adipor1b	24	14	0.00695256188722534	0.583333333333333	225.432916851111
b3gnt7l	14	8	0.00228982203274217	0.571428571428571	226.395671336711
s100a10a	19	11	0.00355292429927406	0.578947368421053	228.766256252971
srgn	24	13	0.00513707951161788	0.541666666666667	232.142197801261
gnpda1	24	13	0.00514292055014551	0.541666666666667	233.055787312823
pgd	24	14	0.00726561424512826	0.583333333333333	233.486616318795
sun1	17	11	0.00362166644358099	0.647058823529412	234.537843428305
scp2a	24	12	0.00430653397120286	0.5	234.97233879757
ovol1a	16	11	0.00367371754106397	0.6875	236.565001638028
pklr	15	10	0.00300991299544481	0.666666666666667	236.85438564654
nt5dc2	24	13	0.00523162848466218	0.541666666666667	238.107118751204
epb41b	11	8	0.00244348029744121	0.727272727272727	240.599251869161
dhrs9	22	13	0.00529858923859018	0.590909090909091	240.769599409892
naga	24	14	0.00755588827614046	0.583333333333333	241.180430383562
rbm24a	21	13	0.00531896785106383	0.619047619047619	241.298570240273
pygb	2	1	0.00184443947413742	0.5	243.717049054841
ahcy	24	12	0.00448719507431193	0.5	244.91835374263
stoml3b	12	8	0.00247044211709108	0.666666666666667	245.560583156173
osbpl7	20	13	0.00541197079056072	0.65	245.835310726511
rbck1	22	12	0.00450846929266506	0.545454545454545	245.969510305647
cavin2a	24	11	0.00382752044608937	0.458333333333333	246.450806450293
fbp1b	16	10	0.00312857329231438	0.625	246.779253585061
si:dkey-112e7.2	24	13	0.00548237076480633	0.541666666666667	249.098374141623
zgc:152830	23	13	0.00548540422669911	0.565217391304348	249.439371391126
pmm2	17	11	0.00388403099963405	0.647058823529412	249.913985202909
ncs1a	2	1	0.00186491720495584	0.5	250.782774528076
dera	22	12	0.00459569918574852	0.545454545454545	251.672406115569
slc11a2	24	13	0.00554072685157996	0.541666666666667	251.982142224404
grasp	24	12	0.00461126034973612	0.5	252.695468894874
vsig8b	16	11	0.00394521124035894	0.6875	253.70652336903
hmbsb	2	1	0.0019148281574391	0.5	254.242010690602
paqr5b	18	12	0.00472916312308717	0.666666666666667	258.499516440554
gstt2	9	7	0.00230615157843154	0.777777777777778	259.164040715528
